City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,23.04,39,100,4.82,NZ,1678583987
1,torbay,47.6666,-52.7314,1.27,95,100,10.29,CA,1678584021
2,baturaja,-4.1333,104.1667,23.93,95,98,0.28,ID,1678584021
3,ilulissat,69.2167,-51.1,-7.99,49,13,2.06,GL,1678584022
4,new norfolk,-42.7826,147.0587,16.62,58,100,0.89,AU,1678584022
5,cururupu,-1.8283,-44.8683,23.93,96,26,1.52,BR,1678584022
6,port elizabeth,-33.918,25.5701,18.39,81,0,6.17,ZA,1678584023
7,barrow,71.2906,-156.7887,-22.99,77,0,4.12,US,1678583913
8,jamestown,42.097,-79.2353,-1.92,92,100,1.54,US,1678583989
9,cape town,-33.9258,18.4232,16.18,69,100,4.92,ZA,1678583477
10,butaritari,3.0707,172.7902,27.65,74,0,6.22,KI,1678584024
11,esso,55.9333,158.7,-6.78,84,100,2.45,RU,1678584024
12,tuatapere,-46.1333,167.6833,17.72,65,95,4.46,NZ,1678584025
13,sibolga,1.7427,98.7792,25.35,82,85,0.83,ID,1678583732
14,rikitea,-23.1203,-134.9692,24.52,85,100,13.4,PF,1678584025
15,dikson,73.5069,80.5464,-21.02,88,100,7.2,RU,1678584026
16,provideniya,64.3833,-173.3,-10.46,91,100,2.47,RU,1678584026
17,tres picos,15.8667,-93.5333,26.05,81,22,1.93,MX,1678584027
18,kapaa,22.0752,-159.319,26.38,59,20,6.69,US,1678584027
19,georgetown,5.4112,100.3354,27.96,82,20,3.6,MY,1678583813
20,itoman,26.1247,127.6694,22.43,68,40,7.72,JP,1678583781
21,waipawa,-41.4122,175.5153,19.79,57,100,3.36,NZ,1678584028
22,saint-philippe,-21.3585,55.7679,24.77,82,78,6.06,RE,1678584029
23,cabo san lucas,22.8909,-109.9124,29.17,28,0,1.54,MX,1678583852
24,havre-saint-pierre,50.2334,-63.5986,-1.0,86,0,3.6,CA,1678583784
25,chuy,-33.6971,-53.4616,23.23,87,20,5.46,UY,1678584030
26,beringovskiy,63.05,179.3167,-15.97,86,5,5.74,RU,1678584031
27,avarua,-21.2078,-159.775,28.03,83,75,6.17,CK,1678584031
28,esna,25.2934,32.554,18.85,27,0,3.08,EG,1678584031
29,krasnyy chikoy,50.3643,108.7512,-14.21,80,18,1.87,RU,1678584032
30,cherskiy,68.75,161.3,-16.54,75,100,4.82,RU,1678584032
31,yellowknife,62.456,-114.3525,-18.71,65,20,2.57,CA,1678584033
32,busselton,-33.65,115.3333,22.84,45,8,0.83,AU,1678583988
33,makakilo city,21.3469,-158.0858,25.86,58,0,3.09,US,1678584033
34,carnarvon,-24.8667,113.6333,26.43,63,0,9.14,AU,1678584034
35,lavrentiya,65.5833,-171.0,-14.85,85,100,3.75,RU,1678584034
36,saint-michel-des-saints,46.6834,-73.9159,-3.37,95,99,1.67,CA,1678584035
37,marabba,12.35,32.1833,24.63,13,93,4.9,SD,1678584035
38,grindavik,63.8424,-22.4338,-8.74,53,20,9.77,IS,1678584036
39,thompson,55.7435,-97.8558,-12.91,66,20,1.54,CA,1678584036
40,saquena,-4.6667,-73.5167,22.81,98,100,1.12,PE,1678584037
41,muli,2.9167,73.5667,27.56,77,24,5.03,MV,1678584037
42,berdigestyakh,62.0989,126.6992,-17.26,93,100,2.83,RU,1678584038
43,haines junction,60.7522,-137.5108,-8.03,35,53,2.57,CA,1678584039
44,qaanaaq,77.484,-69.3632,-21.61,74,24,2.54,GL,1678584039
45,montepuez,-13.1256,38.9997,20.62,98,100,4.2,MZ,1678584040
46,ushuaia,-54.8,-68.3,12.81,44,40,5.66,AR,1678584040
47,comodoro rivadavia,-45.8667,-67.5,17.92,72,75,5.66,AR,1678584041
48,aklavik,68.2191,-135.0107,-11.56,88,40,2.48,CA,1678584041
49,saint-augustin,51.226,-58.6502,-2.47,79,10,3.62,CA,1678584041
50,east london,-33.0153,27.9116,20.0,76,100,4.79,ZA,1678584042
51,nanakuli,21.3906,-158.1547,26.65,57,0,3.09,US,1678584042
52,banjar,-8.19,114.9675,28.68,64,5,1.27,ID,1678584043
53,altamont,42.2068,-121.7372,4.94,72,100,2.24,US,1678584043
54,punta arenas,-53.15,-70.9167,8.06,61,0,4.12,CL,1678584043
55,mahebourg,-20.4081,57.7,26.16,73,75,4.12,MU,1678584044
56,acapulco,16.8634,-99.8901,26.9,69,20,4.12,MX,1678584028
57,kavieng,-2.5744,150.7967,27.69,74,92,0.07,PG,1678584044
58,mar del plata,-38.0023,-57.5575,23.94,98,100,2.06,AR,1678584045
59,hobart,-42.8794,147.3294,16.26,80,75,5.66,AU,1678583891
60,port alfred,-33.5906,26.891,18.43,83,100,1.34,ZA,1678584045
61,vardo,70.3705,31.1107,-11.01,79,10,9.77,NO,1678584046
62,puerto ayora,-0.7393,-90.3518,26.42,88,48,0.45,EC,1678584046
63,naron,43.5167,-8.1528,15.58,96,100,4.46,ES,1678584047
64,hay river,60.8156,-115.7999,-17.01,55,20,0.0,CA,1678584047
65,weyburn,49.6668,-103.8511,-8.88,86,100,6.17,CA,1678584047
66,methoni,36.8197,21.7049,15.12,84,17,1.15,GR,1678584048
67,varhaug,58.6147,5.6457,-1.17,57,100,5.07,NO,1678584048
68,chulym,55.0997,80.9572,-0.94,97,99,5.35,RU,1678584049
69,albany,42.6001,-73.9662,1.31,81,100,0.45,US,1678584049
70,atuona,-9.8,-139.0333,26.92,74,25,3.05,PF,1678584049
71,logrono,42.4667,-2.45,14.72,67,75,5.66,ES,1678584050
72,bubaque,11.2833,-15.8333,25.78,71,6,5.46,GW,1678584050
73,zykovo,55.9519,93.1461,3.41,74,100,4.45,RU,1678584050
74,thinadhoo,0.5333,72.9333,27.86,71,13,3.13,MV,1678584051
75,hermanus,-34.4187,19.2345,12.67,63,100,4.73,ZA,1678584051
76,krasnogvardeyskiy,57.3793,62.3195,-8.62,93,6,2.19,RU,1678584051
77,castro,-24.7911,-50.0119,17.3,98,100,2.77,BR,1678583912
78,souillac,-20.5167,57.5167,26.21,73,75,4.12,MU,1678584052
79,talnakh,69.4865,88.3972,-7.66,95,100,4.73,RU,1678584052
80,bluff,-46.6,168.3333,23.22,62,100,6.47,NZ,1678584053
81,kutum,14.2,24.6667,17.78,16,79,3.35,SD,1678584053
82,bud,39.447,-86.1758,7.16,62,100,3.68,US,1678584054
83,hilo,19.7297,-155.09,24.23,82,100,2.24,US,1678584054
84,harrisburg,40.2737,-76.8844,3.36,69,75,4.63,US,1678584054
85,port hedland,-20.3167,118.5667,32.03,70,40,3.6,AU,1678583961
86,tiksi,71.6872,128.8694,-21.43,96,89,3.81,RU,1678584055
87,verkhnevilyuysk,63.4453,120.3167,-21.73,99,100,1.07,RU,1678584055
88,faanui,-16.4833,-151.75,27.43,80,99,7.51,PF,1678584056
89,melton,-37.6833,144.5833,19.19,65,75,3.66,AU,1678584056
90,pandamatenga,-18.5278,25.627,19.74,62,63,3.07,BW,1678584056
91,kindu,-2.95,25.95,19.43,99,100,0.38,CD,1678584057
92,cidreira,-30.1811,-50.2056,24.78,87,8,5.41,BR,1678584057
93,lewiston,44.1003,-70.2148,2.66,74,0,1.54,US,1678584058
94,mount gambier,-37.8333,140.7667,16.64,73,84,3.71,AU,1678584058
95,vaini,-21.2,-175.2,30.09,66,40,5.14,TO,1678584058
96,axim,4.8699,-2.2405,26.38,88,86,3.06,GH,1678584059
97,alofi,-19.0595,-169.9187,25.94,89,100,3.09,NU,1678584059
98,vila velha,-20.3297,-40.2925,25.97,89,75,2.06,BR,1678584059
99,dukat,62.55,155.55,-15.66,77,100,3.03,RU,1678584060
100,buchanan,5.8808,-10.0467,25.35,86,100,1.34,LR,1678583879
101,ponta do sol,32.6667,-17.1,20.62,36,100,2.39,PT,1678584060
102,belaya gora,68.5333,146.4167,-19.77,78,100,1.48,RU,1678584061
103,miram shah,33.0086,70.0697,18.88,38,100,0.32,PK,1678584061
104,beaufort,5.3473,115.7455,27.58,69,64,0.68,MY,1678584061
105,chokurdakh,70.6333,147.9167,-26.54,87,87,0.57,RU,1678584062
106,korla,41.7597,86.1469,5.3,28,29,1.05,CN,1678584063
107,coahuayana,18.7333,-103.6833,23.07,82,10,1.64,MX,1678584063
108,solnechnyy,50.7214,136.6319,-3.37,69,100,2.9,RU,1678584063
109,guerrero negro,27.9769,-114.0611,17.8,78,100,8.95,MX,1678583933
110,bambous virieux,-20.3428,57.7575,26.14,73,75,4.12,MU,1678584064
111,vanimo,-2.6741,141.3028,26.69,80,100,2.15,PG,1678584065
112,ous,60.9058,61.5186,-13.84,92,11,2.4,RU,1678584066
113,ahipara,-35.1667,173.1667,21.3,59,25,3.46,NZ,1678584066
114,hohhot,40.8106,111.6522,-5.84,53,0,1.0,CN,1678584066
115,chara,56.9064,118.2631,-25.01,80,9,0.57,RU,1678584067
116,guiyang,26.5833,106.7167,12.27,94,100,3.0,CN,1678584068
117,mandan,46.8267,-100.8896,-5.01,81,40,8.23,US,1678583884
118,avera,33.194,-82.5271,10.73,50,100,2.28,US,1678584069
119,bredasdorp,-34.5322,20.0403,16.09,59,95,3.5,ZA,1678584069
120,mgandu,-5.95,34.1333,16.21,95,100,0.66,TZ,1678584070
121,hambantota,6.1241,81.1185,24.43,85,78,5.72,LK,1678584070
122,saint-joseph,-21.3667,55.6167,24.21,81,71,6.17,RE,1678584071
123,fort nelson,58.8053,-122.7002,-11.7,46,20,2.24,CA,1678584071
124,lebu,-37.6167,-73.65,15.45,87,73,6.34,CL,1678583869
125,san patricio,28.017,-97.5169,26.97,73,10,6.66,US,1678584072
126,mengyin,35.7069,117.9264,4.77,26,0,8.94,CN,1678584072
127,agadez,19.75,10.25,24.32,12,100,3.31,NE,1678584073
128,gandajika,-6.75,23.95,19.1,97,100,0.43,CD,1678584073
129,tuktoyaktuk,69.4541,-133.0374,-15.0,85,100,4.12,CA,1678584073
130,sinnamary,5.3833,-52.95,25.49,75,100,5.01,GF,1678584074
131,zatoka,46.0725,30.4654,6.5,66,98,10.3,UA,1678584074
132,ancud,-41.8697,-73.8203,15.75,91,100,11.9,CL,1678583909
133,kahului,20.8947,-156.47,26.65,63,20,4.63,US,1678584075
134,sedhiou,12.7081,-15.5569,24.27,53,1,2.38,SN,1678584076
135,altamira,-3.2033,-52.2064,22.76,97,100,1.06,BR,1678584077
136,kaitangata,-46.2817,169.8464,21.46,43,100,1.79,NZ,1678584077
137,oranjemund,-28.55,16.4333,16.31,84,0,7.35,NA,1678584078
138,namatanai,-3.6667,152.4333,28.7,71,61,1.53,PG,1678584079
139,price,39.5994,-110.8107,3.95,60,20,2.06,US,1678584079
140,lublin,51.0,23.0,-1.23,86,7,7.14,PL,1678584080
141,bilibino,68.0546,166.4372,-20.75,74,81,1.12,RU,1678584080
142,saldanha,-33.0117,17.9442,13.03,73,55,6.57,ZA,1678584081
143,norman wells,65.282,-126.8329,-10.98,31,40,0.0,CA,1678584081
144,kruisfontein,-34.0033,24.7314,17.16,60,100,2.24,ZA,1678584082
145,beloha,-25.1667,45.05,21.71,86,0,4.13,MG,1678584082
146,gizo,-8.103,156.8419,28.18,75,87,2.53,SB,1678584082
147,lompoc,34.6391,-120.4579,17.66,88,75,5.14,US,1678584083
148,fortuna,40.5982,-124.1573,9.64,90,75,4.12,US,1678584083
149,iskateley,67.6803,53.1512,-13.12,96,90,5.16,RU,1678584084
150,pacific grove,36.6177,-121.9166,16.86,83,75,5.66,US,1678584084
151,pangnirtung,66.1451,-65.7125,-18.0,92,0,0.0,CA,1678584085
152,sorland,67.667,12.6934,-0.08,42,100,8.73,NO,1678584086
153,nikolskoye,59.7035,30.7861,-3.44,97,100,2.8,RU,1678584086
154,bethel,41.3712,-73.414,4.05,67,100,5.14,US,1678584087
155,san quintin,30.4833,-115.95,16.96,87,100,5.35,MX,1678584087
156,awjilah,29.1081,21.2869,16.04,56,0,3.19,LY,1678584088
157,minsk,53.9,27.5667,-2.14,88,100,8.11,BY,1678584088
158,pochutla,15.7432,-96.4661,27.68,68,6,2.39,MX,1678584089
159,gimli,50.6336,-96.9907,-4.99,58,100,7.72,CA,1678584089
160,flin flon,54.7682,-101.865,-10.4,95,100,1.59,CA,1678584089
161,sao filipe,14.8961,-24.4956,24.51,62,0,3.39,CV,1678584090
162,gushikawa,26.3544,127.8686,22.0,71,20,7.72,JP,1678584091
163,marzuq,14.4,46.4667,19.31,74,86,2.4,YE,1678584091
164,kabo,7.6994,18.629,24.45,19,62,1.82,CF,1678584091
165,bandarbeyla,9.4942,50.8122,25.42,79,10,4.61,SO,1678584092
166,kiama,-34.6833,150.8667,26.32,69,83,5.18,AU,1678584092
167,lake cowichan,48.825,-124.0546,7.07,92,89,1.19,CA,1678584093
168,myaundzha,63.0494,147.1858,-17.56,92,100,1.52,RU,1678584093
169,susehri,40.1644,38.0867,8.13,67,97,4.22,TR,1678584093
170,naze,28.3667,129.4833,20.51,66,99,4.7,JP,1678584095
171,kodiak,57.79,-152.4072,6.73,21,0,4.63,US,1678584095
172,zhigansk,66.7697,123.3711,-27.49,100,98,2.42,RU,1678584096
173,umea,63.8284,20.2597,-13.38,78,17,1.54,SE,1678584096
174,sirjan,29.452,55.6814,11.66,38,0,1.62,IR,1678584097
175,stornoway,58.2093,-6.3865,2.98,85,100,3.6,GB,1678584097
176,husavik,66.0449,-17.3389,-8.42,82,100,6.17,IS,1678584098
177,chulman,56.8479,124.9104,-19.65,90,98,2.34,RU,1678584099
178,half moon bay,37.4636,-122.4286,16.63,90,100,3.6,US,1678583930
179,lugde,51.9583,9.2471,-0.5,92,52,1.75,DE,1678584100
180,zaysan,47.4667,84.8667,2.02,73,100,1.18,KZ,1678584100
181,ibipeba,-11.6408,-42.0111,23.18,57,96,2.16,BR,1678584101
182,pacifica,37.6138,-122.4869,16.23,93,100,8.05,US,1678583814
183,kampong cham,11.9934,105.4635,25.45,63,6,3.17,KH,1678584102
184,namibe,-15.1961,12.1522,21.98,87,81,0.4,AO,1678584102
185,eureka,40.8021,-124.1637,10.67,88,100,0.45,US,1678584102
186,severo-kurilsk,50.6789,156.125,0.88,92,100,4.3,RU,1678584103
187,batagay,67.6333,134.6333,-19.74,97,100,0.68,RU,1678584103
188,puerto varas,-41.3195,-72.9854,18.12,82,75,10.29,CL,1678584104
189,khrebtovaya,56.7032,104.2494,-10.94,88,100,2.07,RU,1678584104
190,muros,42.7762,-9.0603,15.38,93,100,4.76,ES,1678584104
191,bathsheba,13.2167,-59.5167,26.34,73,20,6.69,BB,1678584105
192,hutang,31.5333,119.4833,11.85,50,92,6.39,CN,1678584105
193,boddam,57.4667,-1.7833,1.21,92,100,11.11,GB,1678583842
194,xining,36.6167,101.7667,-5.53,68,15,1.41,CN,1678584106
195,saskylakh,71.9167,114.0833,-24.33,92,25,3.86,RU,1678584106
196,tiznit,29.5833,-9.5,21.57,24,6,0.52,MA,1678584106
197,along,28.1667,94.7667,17.39,64,44,0.71,IN,1678584107
198,nizhniy odes,63.6445,54.856,-14.43,99,100,2.38,RU,1678584107
199,upernavik,72.7868,-56.1549,-23.24,84,91,2.49,GL,1678583810
200,komsomolskiy,40.4272,71.7189,12.4,82,100,2.06,UZ,1678584108
201,nampa,43.5407,-116.5635,10.06,45,20,4.63,US,1678584108
202,moerai,-22.4333,-151.3333,26.11,72,99,7.72,PF,1678584108
203,khilok,51.3674,110.4676,-9.78,62,23,1.32,RU,1678584109
204,petrozavodsk,61.7849,34.3469,-6.3,92,100,3.0,RU,1678584008
205,taoudenni,22.6783,-3.9836,27.61,8,0,8.25,ML,1678584109
206,banda aceh,5.5577,95.3222,26.51,81,92,2.54,ID,1678584109
207,mantua,45.1667,10.7833,12.97,77,79,2.68,IT,1678583846
208,hervey bay,-25.2986,152.8535,27.37,81,13,6.12,AU,1678584110
209,kavaratti,10.5669,72.642,27.42,69,5,2.25,IN,1678583960
210,simpang,-1.2667,104.0833,25.13,91,99,0.71,ID,1678584111
211,anito,12.4497,125.2886,27.01,68,26,4.2,PH,1678584111
212,oktyabrskoye,43.0645,44.7417,4.08,87,25,2.0,RU,1678584111
213,grand gaube,-20.0064,57.6608,26.22,82,100,2.24,MU,1678584112
214,jaque,7.5175,-78.1703,24.77,89,100,1.41,PA,1678584112
215,petropavlovsk-kamchatskiy,53.0452,158.6483,-4.67,68,75,1.0,RU,1678584112
216,taubate,-23.0264,-45.5553,21.34,97,100,0.6,BR,1678584113
217,dryden,49.7833,-92.7503,-5.84,42,100,7.2,CA,1678584113
218,honningsvag,70.9821,25.9704,-6.14,68,4,9.77,NO,1678584113
219,minot,48.2325,-101.2963,-6.88,93,100,11.83,US,1678583873
220,lipin bor,60.2622,37.9763,-2.98,92,100,7.0,RU,1678584114
221,leningradskiy,69.3833,178.4167,-21.36,85,10,1.6,RU,1678584114
222,arraial do cabo,-22.9661,-42.0278,24.03,90,100,5.35,BR,1678583987
223,charters towers,-20.1,146.2667,30.52,52,32,3.07,AU,1678584115
224,qeshm,26.9581,56.2719,18.94,73,0,2.39,IR,1678584115
225,portel,-1.9356,-50.8211,23.44,96,22,1.65,BR,1678583989
226,challans,46.8436,-1.8749,12.11,92,100,5.23,FR,1678584115
227,clyde river,70.4692,-68.5914,-19.87,77,20,7.72,CA,1678584116
228,rio novo,-21.4575,-43.1253,20.69,97,100,1.19,BR,1678584116
229,abilene,32.4487,-99.7331,28.12,27,0,1.54,US,1678584079
230,shediac,46.2198,-64.5411,-0.51,86,100,4.12,CA,1678584116
231,hithadhoo,-0.6,73.0833,27.57,72,15,2.51,MV,1678584117
232,seydi,39.4816,62.9137,11.56,45,86,1.96,TM,1678584117
233,north bend,43.4065,-124.2243,10.65,81,0,3.09,US,1678584118
234,touros,-5.1989,-35.4608,26.86,77,100,5.49,BR,1678584118
235,frederico westphalen,-27.3592,-53.3944,24.69,63,65,1.78,BR,1678584118
236,mackenzie,55.2999,-123.1698,-11.88,48,20,2.57,CA,1678584119
237,bay-khaak,51.1667,94.5,-10.28,85,100,0.69,RU,1678584119
238,ouargaye,11.5033,0.0572,30.9,15,76,1.84,BF,1678584119
239,mao,39.8885,4.2658,13.31,82,0,0.51,ES,1678584120
240,gamba,-2.65,10.0,23.8,89,100,0.97,GA,1678584120
241,manggar,-2.8833,108.2667,26.59,80,92,2.95,ID,1678584120
242,sonari,27.0667,95.0333,19.03,41,0,0.48,IN,1678584121
243,khash,28.2211,61.2158,14.81,46,0,1.57,IR,1678584121
244,pitelino,54.5777,41.8145,2.83,100,100,9.03,RU,1678584122
245,hasaki,35.7333,140.8333,17.38,61,100,2.8,JP,1678584122
246,kushiro,42.975,144.3747,1.53,80,75,1.54,JP,1678584123
247,faya,18.3851,42.4509,14.29,72,14,2.37,SA,1678584123
248,ust-nera,64.5667,143.2,-18.63,94,100,2.01,RU,1678584124
249,san rafael,-34.6177,-68.3301,31.33,40,75,2.57,AR,1678584045
250,beausejour,50.0622,-96.5167,-6.75,93,100,7.27,CA,1678584125
251,princeton,25.5384,-80.4089,25.56,77,0,6.17,US,1678583602
252,tooele,40.5308,-112.2983,5.04,58,75,2.57,US,1678583999
253,nishihara,26.1842,127.7558,22.03,68,40,7.72,JP,1678584126
254,nizwa,22.9333,57.5333,20.77,37,61,0.21,OM,1678584126
255,novoagansk,61.9449,76.6625,-10.16,86,100,9.99,RU,1678584127
256,longyearbyen,78.2186,15.6401,-9.09,67,20,6.69,SJ,1678584105
257,mumbwa,-14.9783,27.0619,16.86,92,100,0.63,ZM,1678584127
258,male,4.1748,73.5089,27.97,83,75,5.66,MV,1678584128
259,churapcha,62.0025,132.4325,-9.47,87,100,4.19,RU,1678584128
260,ekpoma,6.7421,6.139,23.14,86,66,1.53,NG,1678584129
261,sakakah,29.9697,40.2064,14.76,32,3,4.16,SA,1678584129
262,asfi,32.2994,-9.2372,15.62,79,45,6.69,MA,1678584130
263,noumea,-22.2763,166.4572,30.99,58,55,5.86,NC,1678584130
264,laguna,38.421,-121.4238,13.94,89,100,2.57,US,1678583895
265,guangyuan,32.442,105.823,11.5,15,84,3.15,CN,1678584131
266,wanning,18.8003,110.3967,23.03,81,100,3.27,CN,1678584131
267,lagunas,-5.2269,-75.6753,23.1,92,65,0.64,PE,1678584132
268,padang,-0.9492,100.3543,24.03,82,93,1.43,ID,1678584132
269,christchurch,-43.5333,172.6333,24.71,48,0,4.12,NZ,1678583945
270,maningrida,-12.0667,134.2667,30.01,63,99,2.23,AU,1678584133
271,wielun,51.221,18.5696,-1.42,84,12,5.74,PL,1678584134
272,caravelas,-17.7125,-39.2481,23.76,83,100,2.09,BR,1678584134
273,emerald,-23.5333,148.1667,29.63,73,0,5.32,AU,1678584135
274,san cristobal,7.7669,-72.225,19.1,93,99,0.24,VE,1678584135
275,dalvik,65.9702,-18.5286,-18.04,88,100,6.72,IS,1678584136
276,banes,20.9625,-75.7186,22.37,71,52,1.73,CU,1678584136
277,yar-sale,66.8333,70.8333,-16.75,87,96,5.6,RU,1678584137
278,xinzhou,38.4092,112.7333,-1.71,20,0,1.97,CN,1678584137
279,macia,-25.0269,33.0989,21.6,97,58,1.16,MZ,1678584138
280,pidhorodne,48.5753,35.1068,9.92,87,100,7.69,UA,1678584138
281,santa isabel,-23.3156,-46.2214,20.84,97,100,0.79,BR,1678584138
282,waingapu,-9.6567,120.2641,27.62,71,4,0.93,ID,1678584139
283,monywa,22.1167,95.1333,25.89,25,96,2.43,MM,1678584139
284,pisco,-13.7,-76.2167,26.03,69,40,0.51,PE,1678584140
285,ilo,-17.6394,-71.3375,23.64,81,43,4.22,PE,1678584141
286,mount isa,-20.7333,139.5,28.87,65,75,4.63,AU,1678584141
287,puerto del rosario,28.5004,-13.8627,17.86,82,0,3.6,ES,1678584142
288,shenjiamen,29.9576,122.298,10.02,94,100,8.11,CN,1678584142
289,magadan,59.5667,150.8,-9.15,76,100,3.98,RU,1678584143
290,tamarindo,22.1175,-78.9087,22.45,76,90,0.22,CU,1678584143
291,tasiilaq,65.6145,-37.6368,-12.91,62,0,2.51,GL,1678584144
